,Total,ImportedChina,ImportedOthers,Local,Unknown,Death
South Korea,1766,13,4,605,1144,13
Japan,186,28,11,129,18,3
Singapore,93,24,0,69,0,0
Australia,23,12,8,3,0,0
Malaysia,22,18,2,2,0,0
Vietnam,16,8,0,8,0,0
Philippines,3,3,0,0,0,1
Cambodia,1,1,0,0,0,0
Thailand,40,23,0,7,10,0
India,3,3,0,0,0,0
Nepal,1,1,0,0,0,0
Sri Lanka,1,1,0,0,0,0
USA,59,14,42,2,1,0
Canada,11,7,2,1,1,0
Brazil,1,0,1,0,0,0
Italy,400,3,0,121,276,12
Germany,21,2,1,14,4,0
France,18,6,2,7,3,2
UK,13,2,10,1,0,0
Spain,12,0,10,1,1,0
Croatia,3,0,2,1,0,0
Austria,2,0,2,0,0,0
Finland,2,1,1,0,0,0
Israel,2,0,2,0,0,0
Russia,2,2,0,0,0,0
Sweden,2,1,1,0,0,0
Belgium,1,1,0,0,0,0
Denmark,1,0,1,0,0,0
Estonia,1,0,0,0,1,0
Georgia,1,0,1,0,0,0
Greece,1,0,1,0,0,0
North Macedonia,1,0,1,0,0,0
Norway,1,1,0,0,0,0
Romania,1,0,1,0,0,0
Switzerland,1,0,1,0,0,0
Iran,141,0,0,28,113,22
Kuwait,43,0,43,0,0,0
Bahrain,33,0,33,0,0,0
UAE,13,6,2,5,0,0
Iraq,6,0,6,0,0,0
Oman,4,0,4,0,0,0
Lebanon,1,0,1,0,0,0
Pakistan,2,0,1,0,1,0
Afghanistan,1,0,1,0,0,0
Egypt,1,0,0,1,0,0
Algeria,1,0,1,0,0,0
